video,scenario,metric,color_space,window,precision,recall,f1,tp,fp,fn,tn,threshold
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,RGB,3,0.275,1.0,0.43137254901960786,11,29,0,10,-3.9081657663136866
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,RGB,5,0.5384615384615384,0.6363636363636364,0.5833333333333334,7,6,4,33,-3.6130580671378993
lighting\lighting.mp4,lighting,HISTCMP_CORREL,GRAY,1,0.36363636363636365,0.7272727272727273,0.48484848484848486,8,14,3,25,0.20101799294047107
lighting\lighting.mp4,lighting,HISTCMP_CORREL,GRAY,3,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,38,0.20101799294047107
lighting\lighting.mp4,lighting,HISTCMP_CORREL,GRAY,5,0.6875,1.0,0.8148148148148148,11,5,0,34,0.0038607949208611103
lighting\lighting.mp4,lighting,HISTCMP_CORREL,HSV,1,0.2857142857142857,0.9090909090909091,0.43478260869565216,10,25,1,14,6.709530109838546e-06
lighting\lighting.mp4,lighting,HISTCMP_CORREL,HSV,3,0.5714285714285714,0.7272727272727273,0.64,8,6,3,33,6.709530109838546e-06
lighting\lighting.mp4,lighting,HISTCMP_CORREL,HSV,5,0.44,1.0,0.6111111111111112,11,14,0,25,1.998398540536961e-06
lighting\lighting.mp4,lighting,HISTCMP_CORREL,RGB,1,0.38461538461538464,0.45454545454545453,0.4166666666666667,5,8,6,31,0.11987974011054214
lighting\lighting.mp4,lighting,HISTCMP_CORREL,RGB,3,0.28,0.6363636363636364,0.3888888888888889,7,18,4,21,0.0012274838289472179
lighting\lighting.mp4,lighting,HISTCMP_CORREL,RGB,5,0.3684210526315789,0.6363636363636364,0.4666666666666667,7,12,4,27,0.0012274838289472179
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,GRAY,1,0.2903225806451613,0.8181818181818182,0.42857142857142855,9,22,2,17,10.3751017706512
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,GRAY,3,0.37037037037037035,0.9090909090909091,0.5263157894736842,10,17,1,22,4.798576690974064
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,GRAY,5,0.625,0.9090909090909091,0.7407407407407407,10,6,1,33,4.798576690974064
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,HSV,1,0.2777777777777778,0.9090909090909091,0.425531914893617,10,26,1,13,0.003391485428599868
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,HSV,3,0.47058823529411764,0.7272727272727273,0.5714285714285714,8,9,3,30,0.003391485428599868
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,HSV,5,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,38,0.003391485428599868
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,RGB,1,0.38461538461538464,0.45454545454545453,0.4166666666666667,5,8,6,31,13.9354838083666
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,RGB,3,0.3888888888888889,0.6363636363636364,0.4827586206896552,7,11,4,28,1.1550874467347914
lighting\lighting.mp4,lighting,HISTCMP_CHISQR,RGB,5,0.7,0.6363636363636364,0.6666666666666666,7,3,4,36,1.1550874467347914
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,GRAY,1,0.3076923076923077,0.7272727272727273,0.43243243243243246,8,18,3,21,0.456525371248073
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,GRAY,3,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,37,0.456525371248073
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,GRAY,5,0.7142857142857143,0.9090909090909091,0.8,10,4,1,35,0.34744149579978184
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,HSV,1,0.30303030303030304,0.9090909090909091,0.45454545454545453,10,23,1,16,0.02391591342701695
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,HSV,3,0.6153846153846154,0.7272727272727273,0.6666666666666666,8,5,3,34,0.02391591342701695
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,HSV,5,0.7692307692307693,0.9090909090909091,0.8333333333333334,10,3,1,36,0.01717793927916944
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,RGB,1,0.3333333333333333,0.45454545454545453,0.38461538461538464,5,10,6,29,0.3186759189755262
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,RGB,3,0.3333333333333333,0.6363636363636364,0.4375,7,14,4,25,0.10380610859051895
lighting\lighting.mp4,lighting,HISTCMP_BHATTACHARYYA,RGB,5,0.4666666666666667,0.6363636363636364,0.5384615384615384,7,8,4,31,0.10380610859051895
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,GRAY,1,0.2558139534883721,1.0,0.4074074074074074,11,32,0,7,-0.6315457837481517
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,GRAY,3,0.6666666666666666,0.5454545454545454,0.6,6,3,5,36,-0.16642625688837143
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,GRAY,5,0.6470588235294118,1.0,0.7857142857142857,11,6,0,33,-0.6315457837481517
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,HSV,1,0.5,0.5454545454545454,0.5217391304347826,6,6,5,33,-0.5670116084365873
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,HSV,3,1.0,0.36363636363636365,0.5333333333333333,4,0,7,39,-0.5670116084365873
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,HSV,5,0.2391304347826087,1.0,0.38596491228070173,11,35,0,4,-0.7002843481313903
lighting\lighting.mp4,lighting,HISTCMP_INTERSECT,RGB,1,0.22,1.0,0.36065573770491804,11,39,0,0,-3.976126121404377
